composition,family_count,system_frequency,has_novel_family,novel_families
"(725, 3257)",2,3,False,[]
"(355, 2052, 7976)",3,3,False,[]
"(5194, 6546)",2,3,False,[]
"(2214, 6517)",2,3,True,[6517]
"(2773, 4172)",2,3,True,[4172]
"(1238, 3805)",2,3,False,[]
"(7321, 8779)",2,3,True,[8779]
"(3166, 8073)",2,3,True,[8073]
"(4770, 4952)",2,3,False,[]
"(6046, 8088)",2,3,True,[6046]
"(1288, 4337)",2,3,False,[]
"(1117, 7410)",2,3,True,[7410]
"(520, 4051)",2,3,False,[]
"(2150, 7619)",2,3,True,[7619]
"(5242, 10166)",2,3,False,[]
"(2093, 11772)",2,3,False,[]
"(3820, 8756)",2,3,False,[]
"(3649, 3958)",2,3,False,[]
"(3534, 10447)",2,3,True,[3534]
"(185, 4939)",2,3,True,"[185, 4939]"
"(343, 343)",2,3,False,[]
"(10159, 11963)",2,3,True,[10159]
"(3661, 6174)",2,3,True,[6174]
"(4996, 8684)",2,3,False,[]
"(184, 1823, 3213, 7456)",4,3,False,[]
"(11824, 12007)",2,3,True,[12007]
"(1458, 2134)",2,3,False,[]
"(1613, 2319)",2,3,True,[2319]
"(412, 607)",2,3,True,[412]
"(7544, 7570)",2,3,False,[]
"(5840, 7613)",2,3,True,[5840]
"(2453, 2574)",2,3,True,[2574]
"(96, 5180)",2,3,True,[5180]
"(1745, 2790)",2,3,True,[2790]
"(7405, 7974)",2,3,True,[7974]
"(2493, 4260)",2,3,False,[]
"(4048, 11618)",2,3,False,[]
"(1202, 7754)",2,3,True,[1202]
"(2878, 4308)",2,3,False,[]
"(415, 933)",2,3,False,[]
"(4400, 4717)",2,3,True,[4717]
"(11834, 12144)",2,3,False,[]
"(2531, 3482, 6431)",3,3,False,[]
"(5435, 10028)",2,3,True,[5435]
"(3221, 10791)",2,3,True,[3221]
"(6220, 10030)",2,3,False,[]
"(3966, 6634)",2,3,False,[]
"(883, 4120)",2,3,False,[]
"(943, 4210)",2,3,True,[4210]
"(2250, 5278)",2,3,False,[]
"(2584, 9364)",2,3,True,[9364]
"(10883, 11357)",2,3,False,[]
"(471, 6297)",2,3,False,[]
"(5051, 9157)",2,3,True,[5051]
"(4555, 7450)",2,3,True,[4555]
"(5812, 6811, 9699)",3,3,False,[]
"(3774, 11446)",2,3,True,[11446]
"(11303, 11993)",2,3,True,[11993]
"(7574, 9057)",2,3,True,[9057]
"(6538, 6999)",2,3,False,[]
"(539, 1454)",2,3,False,[]
"(1807, 6122)",2,3,True,[6122]
"(5634, 11275)",2,3,True,[5634]
"(7394, 8362)",2,3,False,[]
"(3055, 3411)",2,3,True,"[3055, 3411]"
"(6085, 10773)",2,3,False,[]
"(1723, 4341)",2,3,False,[]
"(4171, 5966)",2,3,True,[4171]
"(4014, 5252)",2,3,False,[]
"(10766, 11618)",2,3,False,[]
"(611, 3568)",2,3,False,[]
"(2700, 7865)",2,3,False,[]
"(4526, 8334)",2,3,False,[]
"(2604, 2708)",2,3,True,[2708]
"(10611, 10885)",2,3,True,"[10611, 10885]"
"(5026, 6546)",2,3,False,[]
"(2010, 11100)",2,3,True,[2010]
