Source,Target,Weight,Source_Type,Target_Type
1937,8138,1,Expanded_Known_Family,Known_Family_Only
1937,3924,1,Expanded_Known_Family,Known_Family_Only
1937,3171,1,Expanded_Known_Family,Potential_Novel_Family
1937,2029,2,Expanded_Known_Family,Expanded_Known_Family
1937,1749,2,Expanded_Known_Family,Expanded_Known_Family
1937,1341,1,Expanded_Known_Family,Expanded_Known_Family
1937,689,1,Expanded_Known_Family,Known_Family_Only
1937,1757,1,Expanded_Known_Family,Expanded_Known_Family
1937,5605,1,Expanded_Known_Family,Potential_Novel_Family
1937,5573,1,Expanded_Known_Family,Known_Family_Only
1937,3507,1,Expanded_Known_Family,Potential_Novel_Family
1937,1887,1,Expanded_Known_Family,Known_Family_Only
1937,7336,1,Expanded_Known_Family,Known_Family_Only
1937,8636,1,Expanded_Known_Family,Potential_Novel_Family
1937,3720,1,Expanded_Known_Family,Expanded_Known_Family
5608,5613,11,Expanded_Known_Family,Expanded_Known_Family
5608,4837,1,Expanded_Known_Family,Potential_Novel_Family
5608,602,1,Expanded_Known_Family,Expanded_Known_Family
5608,147,1,Expanded_Known_Family,Expanded_Known_Family
5613,5672,1,Expanded_Known_Family,Potential_Novel_Family
5613,9761,1,Expanded_Known_Family,Known_Family_Only
5613,11449,1,Expanded_Known_Family,Known_Family_Only
5613,4837,1,Expanded_Known_Family,Potential_Novel_Family
5613,147,1,Expanded_Known_Family,Expanded_Known_Family
1650,9246,2,Expanded_Known_Family,Expanded_Known_Family
1650,199,1,Expanded_Known_Family,Expanded_Known_Family
1650,7224,1,Expanded_Known_Family,Potential_Novel_Family
1650,10461,1,Expanded_Known_Family,Potential_Novel_Family
9246,6684,1,Expanded_Known_Family,Expanded_Known_Family
555,5158,1,Expanded_Known_Family,Potential_Novel_Family
555,1934,1,Expanded_Known_Family,Expanded_Known_Family
555,1169,1,Expanded_Known_Family,Expanded_Known_Family
555,8644,1,Expanded_Known_Family,Expanded_Known_Family
1519,4113,1,Expanded_Known_Family,Expanded_Known_Family
1519,7282,1,Expanded_Known_Family,Potential_Novel_Family
