Architecture,Frequency,Novel_Subunits,Anchored_Known_System
"(4296, 4355)",3,[4296],Fam_4355=RM_Type_II__Type_II_MTases
"(4964, 6815)",3,[4964],Fam_6815=Unknown_Defense
"(2354, 2549)",3,[2549],Fam_2354=Rst_HelicaseDUF2290__Helicase
"(12784, 14034)",3,[14034],Fam_12784=MazEF__MazF
"(179, 3665, 9339)",3,[9339],Fam_179=Wadjet__JetC_III; Fam_3665=Wadjet__JetA_III
"(4038, 8556)",3,[8556],Fam_4038=Unknown_Defense
"(7440, 12719)",3,[12719],Fam_7440=Unknown_Defense
"(11414, 12739, 13557)",3,[12739],Fam_11414=Unknown_Defense; Fam_13557=Unknown_Defense
"(12847, 13850)",3,[12847],Fam_13850=MazEF__MazE
"(4795, 6804)",3,[6804],Fam_4795=Unknown_Defense
"(9039, 14002)",3,[14002],Fam_9039=Unknown_Defense
"(12329, 14006)",3,[14006],Fam_12329=PfiAT__PfiT
"(858, 2449)",3,[858],Fam_2449=DarTG__DarG
"(335, 6471)",3,"[335, 6471]",Pure_Novel_System
"(3842, 10422)",3,[10422],Fam_3842=RM_Type_II__Type_II_MTases
"(3680, 9669)",3,[9669],Fam_3680=AbiL__AbiLi2
"(12696, 13791)",3,[13791],Fam_12696=MazEF__MazF
"(8083, 10240)",3,[10240],Fam_8083=AbiEii__AbiEi
"(8211, 11031)",3,[11031],Fam_8211=SanaTA__SanaT
"(1457, 3391)",3,[1457],Fam_3391=Unknown_Defense
"(7594, 10065)",3,[10065],Fam_7594=RM_Type_II__Type_II_MTases
"(1255, 2187)",3,[2187],Fam_1255=BREX__pglXI
"(2503, 7144)",3,"[2503, 7144]",Pure_Novel_System
"(4115, 6032)",3,[4115],Fam_6032=pAgo__pAgo_SPARTA
"(4106, 12642)",3,[12642],Fam_4106=RosmerTA__RmrA
"(3831, 6138)",3,[3831],Fam_6138=Menshen__NsnC
"(7597, 11673)",3,[7597],Fam_11673=Unknown_Defense
"(10888, 13625)",3,[10888],Fam_13625=Unknown_Defense
"(7114, 9971)",3,[7114],Fam_9971=RM_Type_II__Type_II_REases
"(7791, 13641)",3,[7791],Fam_13641=Unknown_Defense
"(8031, 8516)",3,[8516],Fam_8031=Unknown_Defense
"(4262, 5413)",3,[5413],Fam_4262=Unknown_Defense
"(284, 4575)",3,"[284, 4575]",Pure_Novel_System
"(5617, 8700)",3,[8700],Fam_5617=Septu__PtuA
"(845, 3068)",3,[3068],Fam_845=RM_Type_IV__Type_IV_REases
"(7034, 7864)",3,"[7034, 7864]",Pure_Novel_System
"(1301, 5862)",3,[5862],Fam_1301=Unknown_Defense
"(991, 1840)",3,[1840],Fam_991=RM_Type_III__Type_III_REases
"(2336, 9860)",3,[2336],Fam_9860=Unknown_Defense
"(1598, 6038)",3,[6038],Fam_1598=Mokosh_type_I__MkoB_B
"(8066, 11022)",3,[11022],Fam_8066=Unknown_Defense
"(12936, 13534)",3,[12936],Fam_13534=PfiAT__PfiA
"(3103, 4742)",3,[4742],Fam_3103=RM_Type_II__Type_II_MTases
"(1790, 2912)",3,[1790],Fam_2912=Unknown_Defense
"(11483, 13841)",3,[11483],Fam_13841=Unknown_Defense
"(13231, 13804)",3,[13804],Fam_13231=PfiAT__PfiT
"(13199, 13226)",3,[13199],Fam_13226=Unknown_Defense
"(12728, 13550)",3,[12728],Fam_13550=MazEF__MazE
"(12407, 13875)",3,[12407],Fam_13875=Unknown_Defense
"(5757, 9007)",3,[5757],Fam_9007=Unknown_Defense
"(432, 2863)",3,[2863],Fam_432=RM__Type_I_REases
"(3291, 6430)",3,[6430],Fam_3291=RM_Type_II__Type_II_REases
"(2434, 5122)",3,[5122],Fam_2434=Unknown_Defense
"(2508, 8306)",3,[2508],Fam_8306=DarTG__DarT
"(3572, 8595)",3,"[3572, 8595]",Pure_Novel_System
"(1468, 6359)",3,[6359],Fam_1468=Shango__SngC
"(258, 6680)",3,"[258, 6680]",Pure_Novel_System
"(170, 6724)",3,[6724],Fam_170=Gao_RL__RL_D
"(11588, 12225)",3,[12225],Fam_11588=PfiAT__PfiT
"(262, 350, 450, 3691, 7404, 8330, 10091)",3,[3691],Fam_262=RM_Type_IIG__Type_IIG; Fam_350=Unknown_Defense; Fam_450=RM_Type_IV__Type_IV_REases; Fam_7404=Zorya_TypeII__ZorE; Fam_8330=Zorya__ZorB; Fam_10091=Zorya__ZorA2
"(1692, 2004)",3,[1692],Fam_2004=RM_Type_II__Type_II_MTases
"(626, 1088)",3,[1088],Fam_626=RM_Type_III__Type_III_REases
"(8545, 9889)",3,[8545],Fam_9889=Pycsar__AG_cyclase
"(3612, 9132)",3,[3612],Fam_9132=PARIS_II__AriB_DUF4435_II
"(12609, 13935)",3,[13935],Fam_12609=MazEF__MazF
"(3278, 3457)",3,[3278],Fam_3457=RM_Type_II__Type_II_MTases
"(7525, 12643)",3,"[7525, 12643]",Pure_Novel_System
"(4870, 6245)",3,[6245],Fam_4870=RM_Type_II__Type_II_REases
"(12300, 12512)",3,[12512],Fam_12300=Unknown_Defense
"(342, 462)",3,[462],Fam_342=Gao_RL__RL_A
"(6043, 11494)",3,[6043],Fam_11494=Unknown_Defense
"(3253, 9266)",3,[3253],Fam_9266=MADS__mad4
"(2868, 6858)",3,[2868],Fam_6858=RM_Type_III__Type_III_MTases
"(2841, 9041)",3,[2841],Fam_9041=AbiL__AbiLii2
"(2113, 6156)",3,"[2113, 6156]",Pure_Novel_System
"(11767, 12277)",3,[11767],Fam_12277=Unknown_Defense
"(1850, 2143, 7309)",3,[2143],Fam_1850=RM_Type_II__Type_II_MTases; Fam_7309=RM_Type_II__Type_II_REases
"(653, 2035, 4011)",3,[2035],Fam_653=RM_Type_IIG__Type_IIG; Fam_4011=Unknown_Defense
"(5907, 13177)",3,[5907],Fam_13177=Unknown_Defense
"(2228, 6056)",3,[2228],Fam_6056=RM_Type_II__Type_II_REases
"(5491, 6720)",3,[6720],Fam_5491=RM_Type_II__Type_II_MTases
"(880, 1104, 3491)",3,[1104],Fam_880=RM_Type_II__Type_II_MTases; Fam_3491=RM_Type_II__Type_II_MTases
"(1530, 6117)",3,[1530],Fam_6117=Unknown_Defense
"(10074, 13056)",3,[10074],Fam_13056=RnlAB__RnlB
"(7290, 7984)",3,[7290],Fam_7984=Unknown_Defense
"(6483, 11591)",3,[11591],Fam_6483=RM_Type_II__Type_II_REases
"(7322, 12983)",3,"[7322, 12983]",Pure_Novel_System
"(755, 7384)",3,[7384],Fam_755=Retron__RT_Tot
"(5607, 7055)",3,[7055],Fam_5607=AbiEii__AbiEi
"(1356, 7097)",3,[1356],Fam_7097=AbiD__AbiD
"(11646, 12153)",3,"[11646, 12153]",Pure_Novel_System
"(5016, 8852)",3,[5016],Fam_8852=AbiEii__AbiEii
"(633, 3158)",3,[3158],Fam_633=RM__Type_I_MTases
"(4486, 4564)",3,[4486],Fam_4564=Unknown_Defense
"(2482, 8736)",3,[2482],Fam_8736=Unknown_Defense
"(7426, 7579)",3,[7579],Fam_7426=Dpd__DpdA
"(10956, 12579)",3,[10956],Fam_12579=MazEF__MazF
"(6551, 14082)",3,[6551],Fam_14082=Unknown_Defense
"(1490, 4387)",3,[4387],Fam_1490=Unknown_Defense
"(12841, 13656)",3,[13656],Fam_12841=MazEF__MazF
"(603, 4433)",2,[4433],Fam_603=Wadjet__JetC_II
"(6185, 10012)",2,"[6185, 10012]",Pure_Novel_System
"(4759, 14311)",2,[14311],Fam_4759=RosmerTA__RmrA
"(4528, 12479)",2,[4528],Fam_12479=Unknown_Defense
"(3047, 9494)",2,[3047],Fam_9494=Unknown_Defense
