composition,family_count,system_frequency,has_novel_family,novel_families
"(5, 7385)",2,2,True,"[5, 7385]"
"(6740, 9026)",2,2,True,[6740]
"(548, 8521, 11769, 11879)",4,2,True,[11769]
"(57, 315, 1607, 2679, 7892)",5,2,True,[2679]
"(4232, 8037)",2,2,True,"[4232, 8037]"
"(13168, 13859)",2,2,True,[13168]
"(3514, 4965)",2,2,True,[4965]
"(3617, 7162)",2,2,True,[7162]
"(5342, 7822)",2,2,True,[7822]
"(1270, 2199)",2,2,True,[1270]
"(2711, 10340)",2,2,True,[10340]
"(6007, 8484)",2,2,True,[8484]
"(2075, 6102)",2,2,True,[6102]
"(9415, 12499)",2,2,True,[12499]
"(4252, 10418)",2,2,True,[10418]
"(3656, 8880)",2,2,True,[8880]
"(12740, 12741)",2,2,True,[12740]
"(442, 4135)",2,2,True,[442]
"(504, 7196)",2,2,True,[504]
"(309, 5754)",2,2,True,[5754]
"(8310, 9449, 12698)",3,2,True,[12698]
"(8852, 9700)",2,2,True,[9700]
"(5363, 12703)",2,2,True,[5363]
"(11246, 14123)",2,2,True,[11246]
"(3639, 12265)",2,2,True,[3639]
"(187, 358, 7445, 9944, 11095)",5,2,True,[11095]
"(340, 6223)",2,2,True,[6223]
"(4969, 7504)",2,2,True,[4969]
"(2109, 4207)",2,2,True,[4207]
"(5204, 13033)",2,2,True,[13033]
"(6338, 10454)",2,2,True,[10454]
"(10737, 10919)",2,2,True,[10737]
"(4450, 12651)",2,2,True,[12651]
"(3420, 5258)",2,2,True,[3420]
"(8824, 10244)",2,2,True,[10244]
"(663, 7356, 10928)",3,2,True,"[7356, 10928]"
"(118, 12473)",2,2,True,"[118, 12473]"
"(10271, 13076)",2,2,True,[10271]
"(2321, 8818)",2,2,True,"[2321, 8818]"
"(10323, 12306)",2,2,True,[10323]
"(3544, 7233)",2,2,True,[7233]
"(8552, 13227)",2,2,True,[8552]
"(1782, 6705)",2,2,True,[1782]
"(7270, 9770)",2,2,True,[9770]
"(7059, 10073)",2,2,True,[10073]
"(6008, 10802)",2,2,True,[6008]
"(3615, 9310)",2,2,True,[9310]
"(1706, 2670)",2,2,True,[1706]
"(1009, 1928, 8554)",3,2,True,[1928]
"(8966, 9026)",2,2,True,[8966]
"(12772, 14023)",2,2,True,[12772]
"(8847, 11677)",2,2,True,[8847]
"(5977, 12244)",2,2,True,[5977]
"(1773, 4721)",2,2,True,[4721]
"(9000, 9037)",2,2,True,[9000]
"(8802, 9656)",2,2,True,[9656]
"(10117, 13295)",2,2,True,"[10117, 13295]"
"(586, 4677)",2,2,True,[4677]
"(828, 3766)",2,2,True,[3766]
"(1690, 2732)",2,2,True,[2732]
"(817, 3459)",2,2,True,[3459]
"(9804, 12579)",2,2,True,[9804]
"(717, 13905)",2,2,True,[13905]
"(1866, 2733)",2,2,True,[1866]
"(1667, 2462)",2,2,True,[1667]
"(10037, 11026)",2,2,True,"[10037, 11026]"
"(1269, 2892, 7901)",3,2,True,[1269]
"(7424, 11358)",2,2,True,[7424]
"(6780, 10012)",2,2,True,"[6780, 10012]"
"(4656, 7969)",2,2,True,[4656]
"(4006, 6542)",2,2,True,[4006]
"(3738, 12773)",2,2,True,[3738]
"(274, 7926)",2,2,True,[7926]
"(1643, 3821)",2,2,True,[3821]
"(9351, 11454)",2,2,True,[11454]
"(1494, 3625)",2,2,True,[1494]
"(5628, 6219)",2,2,True,[5628]
"(884, 9292)",2,2,True,"[884, 9292]"
"(582, 3046, 10309)",3,2,True,[582]
"(309, 1048, 3449)",3,2,True,[3449]
"(2050, 4861)",2,2,True,[4861]
"(1856, 5282)",2,2,True,[1856]
"(5555, 9990)",2,2,True,[9990]
"(8917, 14211)",2,2,True,[14211]
"(7132, 9057)",2,2,True,[7132]
"(846, 4992)",2,2,True,[846]
"(7355, 11392)",2,2,True,[11392]
"(1145, 2061)",2,2,True,[1145]
"(6193, 10832)",2,2,True,[6193]
"(2951, 9157)",2,2,True,[9157]
"(1478, 4791)",2,2,True,[4791]
"(10377, 13454)",2,2,True,[10377]
"(7797, 10617)",2,2,True,[7797]
"(6825, 10200)",2,2,True,[10200]
"(12015, 13375)",2,2,True,[13375]
"(1335, 6602)",2,2,True,[6602]
"(2627, 3523)",2,2,True,[3523]
"(3901, 8469)",2,2,True,[8469]
"(2993, 13676)",2,2,True,[2993]
"(983, 3614)",2,2,True,[3614]
"(13370, 14022)",2,2,True,"[13370, 14022]"
"(10469, 12701)",2,2,True,[12701]
"(690, 1625)",2,2,True,[690]
"(868, 5186, 9583)",3,2,True,[868]
"(6251, 12386)",2,2,True,[6251]
"(5016, 9913)",2,2,True,[5016]
"(6205, 10880)",2,2,True,"[6205, 10880]"
"(3956, 6940)",2,2,True,[3956]
"(12515, 13440)",2,2,True,[13440]
"(2271, 4776)",2,2,True,[4776]
"(7213, 8830)",2,2,True,[8830]
"(4540, 11375)",2,2,True,[11375]
"(7374, 7783)",2,2,True,[7374]
"(5561, 13746)",2,2,True,[5561]
"(5004, 10756)",2,2,True,"[5004, 10756]"
"(7993, 10090)",2,2,True,[10090]
"(3224, 8713)",2,2,True,[8713]
"(4172, 8677)",2,2,True,[4172]
"(142, 263)",2,2,True,[263]
"(3427, 7842)",2,2,True,[3427]
"(10979, 11838)",2,2,True,"[10979, 11838]"
"(8220, 10217)",2,2,True,[8220]
"(3680, 10463)",2,2,True,[10463]
"(1670, 2057)",2,2,True,[1670]
"(13287, 13658)",2,2,True,[13658]
"(3335, 6989, 9566)",3,2,True,"[3335, 6989]"
"(1254, 6030)",2,2,True,[6030]
"(12341, 14092)",2,2,True,[12341]
"(3686, 8256)",2,2,True,"[3686, 8256]"
"(7811, 9542)",2,2,True,[7811]
"(2489, 7765)",2,2,True,[2489]
"(1572, 3685)",2,2,True,[3685]
"(7592, 10978)",2,2,True,"[7592, 10978]"
"(10431, 12216)",2,2,True,[12216]
"(274, 2109, 4151, 6560)",4,2,True,[6560]
"(8125, 10587)",2,2,True,"[8125, 10587]"
"(6790, 9749)",2,2,True,"[6790, 9749]"
"(1186, 8507)",2,2,True,[8507]
"(6670, 7784)",2,2,True,[7784]
"(4021, 8537)",2,2,True,[8537]
"(50, 2942, 9010)",3,2,True,"[2942, 9010]"
"(3809, 12119)",2,2,True,[3809]
"(4022, 9025)",2,2,True,"[4022, 9025]"
"(3979, 7876)",2,2,True,[3979]
"(6229, 8165)",2,2,True,[8165]
"(3426, 5447, 6238)",3,2,True,[3426]
"(2114, 5548)",2,2,True,[5548]
"(5907, 9469)",2,2,True,[5907]
"(2357, 5193)",2,2,True,[5193]
"(13366, 14056)",2,2,True,[14056]
"(1437, 2219)",2,2,True,[2219]
"(326, 3279, 6489, 6796)",4,2,True,[3279]
"(440, 9598)",2,2,True,[440]
"(969, 1299)",2,2,True,[969]
"(2556, 3076)",2,2,True,[2556]
"(4008, 13213)",2,2,True,[13213]
"(2520, 10510)",2,2,True,[2520]
"(47, 14308)",2,2,True,[14308]
"(618, 716)",2,2,True,[716]
"(7870, 10904)",2,2,True,[7870]
"(447, 447)",2,2,True,[447]
"(7460, 10911)",2,2,True,"[7460, 10911]"
"(2722, 11131)",2,2,True,[2722]
"(1809, 11321)",2,2,True,[1809]
"(823, 2415)",2,2,True,[2415]
"(10810, 11075)",2,2,True,[11075]
"(778, 12083)",2,2,True,[12083]
"(3806, 4441)",2,2,True,[4441]
"(8324, 9596)",2,2,True,[9596]
"(10214, 12535, 13158)",3,2,True,[10214]
"(571, 12570)",2,2,True,[12570]
"(8251, 12680)",2,2,True,[12680]
"(938, 6265)",2,2,True,[938]
"(110, 6250, 13925)",3,2,True,[13925]
"(4217, 4586)",2,2,True,[4586]
"(1583, 10501)",2,2,True,[10501]
"(983, 4692, 5208)",3,2,True,[4692]
"(897, 10249)",2,2,True,[10249]
"(6055, 10009)",2,2,True,[6055]
"(7178, 8574)",2,2,True,[7178]
"(2172, 5469)",2,2,True,"[2172, 5469]"
"(1210, 6029)",2,2,True,[6029]
"(12928, 13482)",2,2,True,[12928]
"(2762, 11323)",2,2,True,"[2762, 11323]"
"(4447, 9559)",2,2,True,[9559]
"(1993, 6490)",2,2,True,[6490]
"(5144, 6761)",2,2,True,[5144]
"(11044, 13645)",2,2,True,[11044]
"(1115, 10541, 12107)",3,2,True,[10541]
"(3609, 6553)",2,2,True,[3609]
"(983, 3962)",2,2,True,[3962]
"(4773, 6620)",2,2,True,[4773]
"(2274, 10294)",2,2,True,[10294]
"(5092, 5380)",2,2,True,[5092]
"(3918, 10761)",2,2,True,[10761]
"(12023, 12095)",2,2,True,[12095]
"(8685, 11332)",2,2,True,[11332]
"(3537, 4078)",2,2,True,[4078]
"(3895, 9079)",2,2,True,[3895]
"(1106, 4130)",2,2,True,[4130]
"(3070, 3186, 11470)",3,2,True,[3186]
"(5887, 10823)",2,2,True,[5887]
"(3220, 3314)",2,2,True,[3220]
"(2595, 4843)",2,2,True,[4843]
"(7173, 11534)",2,2,True,[11534]
"(7756, 10986)",2,2,True,[10986]
"(8614, 8615)",2,2,True,[8615]
"(2327, 4808)",2,2,True,[4808]
"(1249, 8757)",2,2,True,[1249]
"(2649, 13055)",2,2,True,[13055]
"(2134, 5675)",2,2,True,[5675]
"(5698, 6530)",2,2,True,[6530]
"(12127, 12404)",2,2,True,"[12127, 12404]"
"(3960, 9755)",2,2,True,[9755]
"(8942, 9327)",2,2,True,"[8942, 9327]"
"(12378, 13786)",2,2,True,[12378]
"(5061, 7915)",2,2,True,[7915]
"(4711, 6920)",2,2,True,[4711]
"(2428, 5651, 7950)",3,2,True,[5651]
"(7259, 12963)",2,2,True,[7259]
"(12209, 13719)",2,2,True,[13719]
"(6649, 12806)",2,2,True,[6649]
"(5888, 10065)",2,2,True,[10065]
"(1665, 2194, 2377, 6957)",4,2,True,[1665]
"(10549, 11241, 13160)",3,2,True,"[10549, 11241]"
"(11301, 11702)",2,2,True,"[11301, 11702]"
"(6037, 9080)",2,2,True,[9080]
"(10950, 13902)",2,2,True,[10950]
"(4557, 5986)",2,2,True,[4557]
"(7291, 9211)",2,2,True,[7291]
"(529, 2713)",2,2,True,[2713]
"(8231, 9643)",2,2,True,[8231]
"(7323, 7631)",2,2,True,[7631]
"(3785, 12379)",2,2,True,[12379]
"(3207, 5418)",2,2,True,[5418]
"(8232, 10192)",2,2,True,"[8232, 10192]"
"(7048, 12465)",2,2,True,[7048]
"(921, 10821)",2,2,True,[921]
"(3339, 9638)",2,2,True,[9638]
"(2243, 5770)",2,2,True,[5770]
"(11476, 12644)",2,2,True,[12644]
"(799, 9300)",2,2,True,[9300]
