composition,family_count,system_frequency,has_novel_family,novel_families
"(604, 642, 993)",3,2,True,[993]
"(426, 5180)",2,2,True,[5180]
"(3356, 8175)",2,2,True,[3356]
"(2320, 3378)",2,2,True,[3378]
"(1956, 8791)",2,2,True,[8791]
"(3299, 9645)",2,2,True,"[3299, 9645]"
"(11322, 12267)",2,2,True,[11322]
"(2048, 12301)",2,2,True,[2048]
"(330, 3511, 5670)",3,2,True,"[3511, 5670]"
"(3959, 6152)",2,2,True,[6152]
"(33, 10901)",2,2,True,[10901]
"(6552, 11419)",2,2,True,"[6552, 11419]"
"(2968, 12691)",2,2,True,[2968]
"(3545, 5267)",2,2,True,[3545]
"(5462, 8806)",2,2,True,[8806]
"(3485, 4279)",2,2,True,[4279]
"(3195, 3964)",2,2,True,"[3195, 3964]"
"(3333, 5641)",2,2,True,[3333]
"(709, 1236)",2,2,True,[709]
"(6151, 6439)",2,2,True,"[6151, 6439]"
"(7713, 8399)",2,2,True,[8399]
"(1294, 5514)",2,2,True,[5514]
"(2108, 10530)",2,2,True,[10530]
"(914, 5685)",2,2,True,[5685]
"(1287, 5360, 7652)",3,2,True,[5360]
"(480, 8125)",2,2,True,[8125]
"(11905, 12110)",2,2,True,[11905]
"(975, 6583)",2,2,True,[6583]
"(7623, 12017)",2,2,True,"[7623, 12017]"
"(3718, 6864)",2,2,True,[3718]
"(2608, 5304)",2,2,True,[5304]
"(8511, 9891)",2,2,True,[9891]
"(1675, 6304)",2,2,True,[6304]
"(406, 4658)",2,2,True,[4658]
"(5819, 7971)",2,2,True,[5819]
"(2567, 9835)",2,2,True,"[2567, 9835]"
"(10574, 12510)",2,2,True,[12510]
"(515, 7592)",2,2,True,[7592]
"(6986, 12179)",2,2,True,"[6986, 12179]"
"(1286, 11004)",2,2,True,[11004]
"(7067, 12021)",2,2,True,[12021]
"(1712, 6985)",2,2,True,[1712]
"(6503, 10140)",2,2,True,[6503]
"(853, 1516)",2,2,True,[1516]
"(3210, 5322)",2,2,True,[3210]
"(10501, 12022)",2,2,True,[12022]
"(3478, 7005)",2,2,True,[7005]
"(6447, 8180)",2,2,True,[8180]
"(3936, 9209)",2,2,True,[9209]
"(5065, 8852)",2,2,True,[5065]
"(1900, 3777)",2,2,True,[3777]
"(5181, 11944)",2,2,True,"[5181, 11944]"
"(2792, 4420)",2,2,True,[4420]
"(2068, 5893)",2,2,True,[5893]
"(30, 2916)",2,2,True,[30]
"(2683, 3403)",2,2,True,"[2683, 3403]"
"(587, 5687)",2,2,True,[587]
