Architecture,Frequency,Novel_Subunits,Anchored_Known_System
"(2575, 3264)",2,[2575],Fam_3264=Unknown_Defense
"(3318, 8661)",2,[8661],Fam_3318=RM_Type_II__Type_II_MTases
"(524, 7087)",2,[7087],Fam_524=Unknown_Defense
"(53, 2749, 4556, 7588)",2,[4556],Fam_53=Wadjet__JetC_II; Fam_2749=Wadjet__JetA_II; Fam_7588=Wadjet__JetB_II
"(4537, 10125)",2,[10125],Fam_4537=Unknown_Defense
"(1990, 9011)",2,[9011],Fam_1990=cas1_I_II_III_IV_V_VI_1
"(6722, 10536)",2,[10536],Fam_6722=Unknown_Defense
"(11067, 12589)",2,[12589],Fam_11067=MazEF__MazF
"(112, 12138)",2,[12138],Fam_112=BREX__pglX1
"(6327, 8874)",2,[8874],Fam_6327=Unknown_Defense
"(8713, 11160)",2,[8713],Fam_11160=Unknown_Defense
"(7177, 8808)",2,[7177],Fam_8808=AbiEii__AbiEi
"(2376, 7210)",2,[7210],Fam_2376=Menshen__NsnB
"(3719, 9249)",2,[9249],Fam_3719=DRT_3__drt3a
"(6105, 8653)",2,[8653],Fam_6105=Unknown_Defense
"(11298, 12449)",2,[11298],Fam_12449=Unknown_Defense
"(6789, 11823)",2,[6789],Fam_11823=Unknown_Defense
"(5401, 9989)",2,[9989],Fam_5401=Unknown_Defense
"(3223, 9029)",2,[3223],Fam_9029=Unknown_Defense
"(4311, 8422)",2,[8422],Fam_4311=Unknown_Defense
"(1546, 5455)",2,[5455],Fam_1546=RM_Type_IIG__Type_IIG
"(60, 2877)",2,[2877],Fam_60=Menshen__NsnA
"(3673, 9365)",2,[3673],Fam_9365=Unknown_Defense
"(4021, 4872)",2,[4021],Fam_4872=Dpd__DpdB
"(10114, 12454)",2,"[10114, 12454]",Pure_Novel_System
"(5974, 6282)",2,[6282],Fam_5974=AbiEii__AbiEii
"(6698, 10996)",2,[10996],Fam_6698=CBASS__Jab
"(2772, 4699)",2,[2772],Fam_4699=Menshen__NsnC
"(3962, 6046)",2,"[3962, 6046]",Pure_Novel_System
"(3652, 10465)",2,[3652],Fam_10465=cas2_I_II_III_IV_V_VI_6
"(1770, 3995)",2,[3995],Fam_1770=PARIS_II__AriB_DUF4435_II
"(2985, 10761)",2,[2985],Fam_10761=Unknown_Defense
