composition,family_count,system_frequency,has_novel_family,novel_families
"(8144, 13112)",2,3,True,[13112]
"(7518, 7650)",2,3,True,[7518]
"(4008, 5093)",2,3,False,[]
"(1602, 2799)",2,3,False,[]
"(10630, 11451)",2,3,True,[11451]
"(3081, 5006)",2,3,True,[3081]
"(1014, 2040)",2,3,False,[]
"(5215, 12185)",2,3,True,[12185]
"(5332, 6940)",2,3,False,[]
"(3401, 7449)",2,3,False,[]
"(5056, 12811)",2,3,False,[]
"(2385, 4970)",2,3,True,[2385]
"(1599, 10793)",2,3,True,[1599]
"(735, 1304)",2,3,False,[]
"(6711, 7486)",2,3,False,[]
"(1523, 7247)",2,3,True,[7247]
"(8284, 9455)",2,3,False,[]
"(5429, 9722)",2,3,False,[]
"(647, 11495)",2,3,True,[11495]
"(10631, 11539)",2,3,True,[11539]
"(2553, 3696, 6417)",3,3,True,[6417]
"(3900, 8017)",2,3,False,[]
"(486, 1313)",2,3,False,[]
"(5056, 11861)",2,3,False,[]
"(10680, 11663)",2,3,True,"[10680, 11663]"
"(1870, 11236)",2,3,False,[]
"(2393, 2619)",2,3,False,[]
"(2377, 3713)",2,3,False,[]
"(2534, 8117)",2,3,False,[]
"(6941, 7094)",2,3,True,"[6941, 7094]"
"(9771, 9998)",2,3,False,[]
"(1922, 9724)",2,3,True,[9724]
"(413, 1330, 5723)",3,3,True,[1330]
"(5540, 8124, 12817, 13462, 13529)",5,3,True,[12817]
"(8190, 11189)",2,3,True,[11189]
"(12530, 12696)",2,3,False,[]
"(7930, 8084)",2,3,False,[]
"(219, 12207)",2,3,False,[]
"(3122, 8491)",2,3,False,[]
"(1857, 7765)",2,3,False,[]
"(220, 3196)",2,3,True,[3196]
"(5352, 6685)",2,3,True,[6685]
"(1834, 4234, 12589)",3,3,True,"[4234, 12589]"
"(1220, 5990)",2,3,True,[5990]
"(4989, 6845)",2,3,False,[]
"(983, 3268)",2,3,False,[]
"(12948, 14170)",2,3,True,"[12948, 14170]"
"(3306, 8822)",2,3,True,[3306]
"(10047, 10574)",2,3,True,[10047]
"(4048, 10416)",2,3,False,[]
"(4343, 12236)",2,3,True,[12236]
"(1068, 2783)",2,3,True,[2783]
"(9218, 11524)",2,3,False,[]
"(3240, 10480)",2,3,False,[]
"(2121, 5934)",2,3,True,[5934]
"(13461, 13850)",2,3,True,[13461]
"(2423, 10568)",2,3,False,[]
"(7362, 13312)",2,3,True,[13312]
"(6074, 7363)",2,3,True,[7363]
"(12471, 13605)",2,3,False,[]
"(11587, 14331)",2,3,True,[11587]
"(134, 328)",2,3,True,[328]
"(6137, 6799)",2,3,True,[6799]
"(4570, 8794)",2,3,False,[]
"(2610, 9362)",2,3,True,"[2610, 9362]"
"(983, 3822)",2,3,False,[]
"(596, 3092)",2,3,True,[3092]
"(815, 1529)",2,3,False,[]
"(2369, 3171)",2,3,True,[2369]
"(4085, 7297)",2,3,True,"[4085, 7297]"
"(6400, 8344)",2,3,True,[8344]
"(7275, 8596)",2,3,True,[7275]
"(3783, 4061)",2,3,False,[]
"(4296, 4355)",2,3,True,[4296]
"(4964, 6815)",2,3,True,[4964]
"(2719, 4088)",2,3,False,[]
"(2354, 2549)",2,3,True,[2549]
"(12784, 14034)",2,3,True,[14034]
"(179, 3665, 9339)",3,3,True,[9339]
"(880, 8302)",2,3,False,[]
"(4038, 8556)",2,3,True,[8556]
"(1485, 2949)",2,3,False,[]
"(2647, 7692)",2,3,False,[]
"(7440, 12719)",2,3,True,[12719]
"(6670, 7184)",2,3,False,[]
"(7971, 9354)",2,3,False,[]
"(1565, 9032)",2,3,False,[]
"(11414, 12739, 13557)",3,3,True,[12739]
"(2437, 3417)",2,3,False,[]
"(7801, 11886)",2,3,False,[]
"(12847, 13850)",2,3,True,[12847]
"(1465, 2773)",2,3,False,[]
"(13550, 14319)",2,3,False,[]
"(1673, 5138)",2,3,False,[]
"(4795, 6804)",2,3,True,[6804]
"(838, 5325)",2,3,False,[]
"(9039, 14002)",2,3,True,[14002]
"(417, 4759)",2,3,False,[]
"(12329, 14006)",2,3,True,[14006]
"(299, 4093)",2,3,False,[]
"(7643, 8854)",2,3,False,[]
"(2536, 9112)",2,3,False,[]
"(858, 2449)",2,3,True,[858]
"(349, 2386)",2,3,False,[]
"(5010, 10506, 13669)",3,3,False,[]
"(8923, 13769)",2,3,False,[]
"(335, 6471)",2,3,True,"[335, 6471]"
"(3150, 3385)",2,3,False,[]
"(332, 484)",2,3,False,[]
"(6727, 9082)",2,3,False,[]
"(3842, 10422)",2,3,True,[10422]
"(3680, 9669)",2,3,True,[9669]
"(12696, 13791)",2,3,True,[13791]
"(1142, 6229)",2,3,False,[]
"(8083, 10240)",2,3,True,[10240]
"(318, 2751)",2,3,False,[]
"(8211, 11031)",2,3,True,[11031]
"(1457, 3391)",2,3,True,[1457]
"(7532, 12260)",2,3,False,[]
"(7594, 10065)",2,3,True,[10065]
"(1255, 2187)",2,3,True,[2187]
"(1209, 4323)",2,3,False,[]
"(2010, 2803)",2,3,False,[]
"(2503, 7144)",2,3,True,"[2503, 7144]"
"(7796, 11362)",2,3,False,[]
