Source,Target,Weight,Source_Type,Target_Type
6003,10648,1,Expanded_Known_Family,Known_Family_Only
7458,6711,1,Expanded_Known_Family,Expanded_Known_Family
2367,7124,3,Expanded_Known_Family,Expanded_Known_Family
2367,4321,1,Expanded_Known_Family,Known_Family_Only
2367,10016,1,Expanded_Known_Family,Potential_Novel_Family
1371,3342,1,Known_Family_Only,Potential_Novel_Family
2169,6192,1,Potential_Novel_Family,Expanded_Known_Family
6192,2651,1,Expanded_Known_Family,Known_Family_Only
3888,10915,1,Expanded_Known_Family,Potential_Novel_Family
3888,10338,17,Expanded_Known_Family,Expanded_Known_Family
3888,10199,2,Expanded_Known_Family,Expanded_Known_Family
3888,9591,1,Expanded_Known_Family,Potential_Novel_Family
3888,10084,1,Expanded_Known_Family,Known_Family_Only
842,2624,1,Potential_Novel_Family,Known_Family_Only
842,3296,1,Potential_Novel_Family,Expanded_Known_Family
842,7165,1,Potential_Novel_Family,Expanded_Known_Family
842,8544,1,Potential_Novel_Family,Potential_Novel_Family
2624,3296,1,Known_Family_Only,Expanded_Known_Family
2624,7165,1,Known_Family_Only,Expanded_Known_Family
2624,8544,1,Known_Family_Only,Potential_Novel_Family
3296,7165,1,Expanded_Known_Family,Expanded_Known_Family
3296,8544,1,Expanded_Known_Family,Potential_Novel_Family
3296,2906,1,Expanded_Known_Family,Potential_Novel_Family
3296,9615,1,Expanded_Known_Family,Known_Family_Only
3296,579,1,Expanded_Known_Family,Potential_Novel_Family
3296,10679,1,Expanded_Known_Family,Known_Family_Only
7165,8544,1,Expanded_Known_Family,Potential_Novel_Family
7165,1039,1,Expanded_Known_Family,Potential_Novel_Family
7165,6020,2,Expanded_Known_Family,Expanded_Known_Family
7165,97,1,Expanded_Known_Family,Potential_Novel_Family
7165,253,1,Expanded_Known_Family,Known_Family_Only
7165,1146,1,Expanded_Known_Family,Potential_Novel_Family
7165,2690,1,Expanded_Known_Family,Expanded_Known_Family
7165,8561,1,Expanded_Known_Family,Potential_Novel_Family
7165,330,2,Expanded_Known_Family,Known_Family_Only
7165,1057,1,Expanded_Known_Family,Potential_Novel_Family
7165,5962,1,Expanded_Known_Family,Known_Family_Only
7165,32,1,Expanded_Known_Family,Expanded_Known_Family
7165,216,1,Expanded_Known_Family,Known_Family_Only
7165,6424,1,Expanded_Known_Family,Known_Family_Only
7165,6520,1,Expanded_Known_Family,Known_Family_Only
7165,7172,1,Expanded_Known_Family,Potential_Novel_Family
7165,998,1,Expanded_Known_Family,Known_Family_Only
192,11652,1,Expanded_Known_Family,Potential_Novel_Family
192,983,25,Expanded_Known_Family,Expanded_Known_Family
192,3878,1,Expanded_Known_Family,Known_Family_Only
192,3599,1,Expanded_Known_Family,Potential_Novel_Family
192,3968,1,Expanded_Known_Family,Potential_Novel_Family
192,169,3,Expanded_Known_Family,Known_Family_Only
192,1099,3,Expanded_Known_Family,Known_Family_Only
192,1385,3,Expanded_Known_Family,Known_Family_Only
192,2730,3,Expanded_Known_Family,Expanded_Known_Family
192,3151,3,Expanded_Known_Family,Expanded_Known_Family
192,4626,3,Expanded_Known_Family,Expanded_Known_Family
192,8004,3,Expanded_Known_Family,Known_Family_Only
192,4864,2,Expanded_Known_Family,Expanded_Known_Family
192,4846,2,Expanded_Known_Family,Expanded_Known_Family
192,4602,1,Expanded_Known_Family,Potential_Novel_Family
192,3239,5,Expanded_Known_Family,Expanded_Known_Family
192,669,3,Expanded_Known_Family,Known_Family_Only
192,1481,5,Expanded_Known_Family,Expanded_Known_Family
