Composition,Frequency,Novel_Family_ID,Known_System_Function
"(7476, 8199)",5,[7476],Fam8199=Zorya__ZorB
"(6208, 8569)",5,[6208],Fam8569=RM_Type_II__Type_II_REases
"(1612, 2017)",5,"[1612, 2017]",Pure_Novel_System
"(5856, 8000)",4,[5856],Fam8000=AbiEii__AbiEii
"(1231, 4145)",4,"[1231, 4145]",Pure_Novel_System
"(257, 456)",4,[456],Fam257=RM_Type_III__Type_III_REases
"(4887, 9823)",4,[4887],Fam9823=AbiL__AbiLii2
"(1765, 8461)",4,[1765],Fam8461=Zorya__ZorB
"(11867, 12387)",4,[12387],Fam11867=MazEF__MazF
"(10113, 10273)",4,[10273],Fam10113=Thoeris_I__ThsA_new_grand
"(5840, 7076)",4,[5840],Fam7076=Zorya__ZorB
"(343, 9862)",4,[9862],Fam343=Wadjet__JetC_III
"(7848, 9843)",4,[9843],Fam7848=AbiEii__AbiEii
"(6010, 8032)",4,[8032],Fam6010=AbiEii__AbiEii
"(4313, 7923)",4,[4313],Fam7923=SspBCDE__SspD
"(9899, 10326)",4,[10326],Fam9899=AbiEii__AbiEii
"(5265, 10656)",4,[5265],Fam10656=Wadjet__JetB_I
"(9497, 10155)",4,[10155],Fam9497=ShosTA__ShosA
"(1589, 4132)",4,[1589],Fam4132=Retron__RT_Tot
"(8737, 10202)",4,[10202],Fam8737=AbiEii__AbiEii
"(163, 1575)",4,[163],Fam1575=Lamassu-Fam__LmuA_effector_Protease
"(7668, 10309)",4,[7668],Fam10309=Thoeris__ThsB_Global
"(3338, 5668)",4,[3338],Fam5668=Zorya__ZorB
"(3474, 6192)",4,[3474],Fam6192=Zorya__ZorB
"(7339, 9205)",4,[9205],Fam7339=AbiEii__AbiEii
"(3111, 3590)",4,[3590],Fam3111=Eleos__LeoBC
"(3788, 4789)",4,[4789],Fam3788=Wadjet__JetD_III
"(8736, 9951)",4,[8736],Fam9951=RM_Type_II__Type_II_REases
"(156, 3556, 8031)",4,[3556],Fam156=Wadjet__JetC_III; Fam8031=Wadjet__JetB_III
"(4065, 9800)",4,"[4065, 9800]",Pure_Novel_System
"(8614, 9037)",4,[8614],Fam9037=ShosTA__ShosT
"(12210, 12591)",4,[12210],Fam12591=MazEF__MazE
"(319, 960)",4,[319],Fam960=Gao_RL__RL_C
"(6519, 6763)",4,"[6519, 6763]",Pure_Novel_System
"(4327, 4947)",4,[4327],Fam4947=RM_Type_II__Type_II_MTases
"(5788, 8009)",4,[5788],Fam8009=AbiEii__AbiEii
"(7159, 7743)",4,[7159],Fam7743=AbiEii__AbiEii
"(5947, 6415)",4,[6415],Fam5947=Dpd__DpdB
"(1984, 6008)",4,[1984],Fam6008=RM_Type_II__Type_II_REases
"(4902, 5083)",4,[4902],Fam5083=BREX__brxD
"(6601, 6767)",4,[6767],Fam6601=Zorya__ZorB
"(6136, 7724)",4,[6136],Fam7724=AbiEii__AbiEii
"(8168, 9430)",4,[9430],Fam8168=AbiEii__AbiEii
"(11704, 11852)",4,[11704],Fam11852=PfiAT__PfiA
"(3171, 9238)",4,[3171],Fam9238=Zorya__ZorB
"(12073, 12223)",4,[12073],Fam12223=PfiAT__PfiA
"(2631, 7949)",4,[2631],Fam7949=Zorya__ZorB
"(6441, 9644)",4,[9644],Fam6441=AbiEii__AbiEii
"(8151, 9835)",4,[9835],Fam8151=AbiEii__AbiEii
"(7159, 7647)",4,[7159],Fam7647=AbiEii__AbiEii
"(3474, 6629)",4,[3474],Fam6629=Zorya__ZorB
"(3359, 7576)",4,[3359],Fam7576=Gao_TerY__TerYA
"(3744, 4385)",4,[3744],Fam4385=RM_Type_II__Type_II_MTases
"(415, 7530)",4,[415],Fam7530=Zorya__ZorB
"(7969, 9892)",4,[9892],Fam7969=AbiEii__AbiEii
"(577, 1800)",4,[577],Fam1800=Eleos__LeoBC
"(5212, 5384)",4,[5212],Fam5384=Zorya__ZorB
"(10876, 10920)",4,[10920],Fam10876=RosmerTA__RmrT_2603008502
"(3261, 7901)",4,[3261],Fam7901=Zorya__ZorB
"(7799, 9859)",4,[9859],Fam7799=SanaTA__SanaT
"(6876, 10020)",4,[10020],Fam6876=SanaTA__SanaT
